V_COD_ESTA,V_COD_ANESTA,V_NOM_ESTA,D_FEC_INI,D_FEC_FIN,N_PORCENTAJE,N_NRO_DIA,V_NOM_DRE,V_COD_TIPO,V_COD_CATE,V_DESC_CATE,V_DESL_CATE,V_COD_SIHI,V_NOM_SIHI,V_COD_CUEN,V_NOM_CUEN,V_COD_SECTOR,N_ALT_MTS,N_LON_SIG,N_LAT_SIG,V_COD_COND,PER_INI,PER_FIN
4AD07658,4AD07658,CADASBAMBA,10/04/2012,11/05/2023,89,"3,617",DIRECCION ZONAL DE LIMA,M2,17,EMA,METEOROLOGICA AUTOMATICA,4,AMAZONAS,,,,"2,873",-78,-9,F,2012-04,2023-05
4AD086DC,4AD086DC,PURHUAY,10/04/2012,11/05/2023,98,"3,956",DIRECCION ZONAL DE LIMA,M2,17,EMA,METEOROLOGICA AUTOMATICA,4,AMAZONAS,,,,"3,476",-77,-9,F,2012-04,2023-05
4AD095AA,4AD095AA,SHANCAYAN,10/04/2012,26/01/2019,96,"2,390",DIRECCION ZONAL DE LIMA,M2,17,EMA,METEOROLOGICA AUTOMATICA,1,PACIFICO,,,,"3,078",-78,-10,P,2012-04,2019-01
4AD0A030,4AD0A030,HUARMEY,10/04/2012,29/10/2020,97,"3,044",DIRECCION ZONAL DE LIMA,M2,17,EMA,METEOROLOGICA AUTOMATICA,1,PACIFICO,,,,20,-78,-10,F,2012-04,2020-10
4AD0B346,4AD0B346,POMABAMBA,10/04/2012,11/05/2023,98,"3,972",DIRECCION ZONAL DE LIMA,M2,17,EMA,METEOROLOGICA AUTOMATICA,4,AMAZONAS,,,,"3,024",-77,-9,F,2012-04,2023-05
4AD0C5D6,4AD0C5D6,PASTO RURI,10/04/2012,11/05/2023,93,"3,775",DIRECCION ZONAL DE LIMA,M2,17,EMA,METEOROLOGICA AUTOMATICA,1,PACIFICO,,,,"4,938",-77,-10,F,2012-04,2023-05
4AD0D6A0,4AD0D6A0,NEPEÐA,10/04/2012,12/09/2017,95,"1,877",DIRECCION ZONAL DE LIMA,M2,17,EMA,METEOROLOGICA AUTOMATICA,1,PACIFICO,,,,140,-78,-9,P,2012-04,2017-09
270503,210801,PUENTE ZAPATILLA,01/01/1976,28/02/2023,42,"7,236",DIRECCION ZONAL DE PUNO,H,06,HLM,HIDROLOGICA LIMNIMETRICA,7,TITICACA,06,ZAPATILLA,0011,"3,846",-70,-16,F,1976-01,2023-02
100150,000852,YACANGO,01/01/1964,31/03/2023,92,"19,877",DIRECCION ZONAL DE TACNA,M,11,CO,CLIMATOLOGICA ORDINARIA,1,PACIFICO,47,ILO - MOQUEGUA,0009,"2,191",-71,-17,F,1964-01,2023-03
472117B8,472117B8,ILO,31/12/2000,21/10/2013,81,"3,770",DIRECCION ZONAL DE TACNA,O,19,O,OCEANOGRAFICA AUTOMATICA,1,PACIFICO,52,OCEANO PACIFICO,0003,150,-71,-18,P,2000-12,2013-10
